Using cpu device
---------------------------------
| rollout/           |          |
|    total_timesteps      | 16384       |
| train/                  |             |
|    approx_kl            | 0.008917706 |
|    clip_fraction        | 0.07        |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.24       |
|    explained_variance   | 0.0391      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0419     |
|    n_updates            | 70          |
|    policy_gradient_loss | -0.00729    |
|    value_loss           | 0.0153      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 9.2         |
|    ep_rew_mean          | 0.04        |
| time/                   |             |
|    fps                  | 837         |
|    iterations           | 9           |
|    time_elapsed         | 22          |
|    total_timesteps      | 18432       |
| train/                  |             |
|    approx_kl            | 0.012266243 |
|    clip_fraction        | 0.125       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.22       |
|    explained_variance   | 0.156       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.00591     |
|    n_updates            | 80          |
|    policy_gradient_loss | -0.0105     |
|    value_loss           | 0.0263      |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 8.55         |
|    ep_rew_mean          | 0.03         |
| time/                   |              |
|    fps                  | 824          |
|    iterations           | 10           |
|    time_elapsed         | 24           |
|    total_timesteps      | 20480        |
| train/                  |              |
|    approx_kl            | 0.0125817675 |
|    clip_fraction        | 0.15         |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.2         |
|    explained_variance   | 0.163        |
|    learning_rate        | 0.0003       |
|    loss                 | -0.0521      |
|    n_updates            | 90           |
|    policy_gradient_loss | -0.0127      |
|    value_loss           | 0.0258       |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 10.4        |
|    ep_rew_mean          | 0.05        |
| time/                   |             |
|    fps                  | 820         |
|    iterations           | 11          |
|    time_elapsed         | 27          |
|    total_timesteps      | 22528       |
| train/                  |             |
|    approx_kl            | 0.012752557 |
|    clip_fraction        | 0.109       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.16       |
|    explained_variance   | 0.122       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0352     |
|    n_updates            | 100         |
|    policy_gradient_loss | -0.00925    |
|    value_loss           | 0.0297      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 10.7        |
|    ep_rew_mean          | 0.11        |
| time/                   |             |
|    fps                  | 820         |
|    iterations           | 12          |
|    time_elapsed         | 29          |
|    total_timesteps      | 24576       |
| train/                  |             |
|    approx_kl            | 0.008223111 |
|    clip_fraction        | 0.0455      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.11       |
|    explained_variance   | 0.136       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0193     |
|    n_updates            | 110         |
|    policy_gradient_loss | -0.00655    |
|    value_loss           | 0.0291      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 11.8        |
|    ep_rew_mean          | 0.06        |
| time/                   |             |
|    fps                  | 821         |
|    iterations           | 13          |
|    time_elapsed         | 32          |
|    total_timesteps      | 26624       |
| train/                  |             |
|    approx_kl            | 0.007704865 |
|    clip_fraction        | 0.0582      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.06       |
|    explained_variance   | 0.158       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.000356    |
|    n_updates            | 120         |
|    policy_gradient_loss | -0.00607    |
|    value_loss           | 0.0428      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 12.9        |
|    ep_rew_mean          | 0.12        |
| time/                   |             |
|    fps                  | 817         |
|    iterations           | 14          |
|    time_elapsed         | 35          |
|    total_timesteps      | 28672       |
| train/                  |             |
|    approx_kl            | 0.018076379 |
|    clip_fraction        | 0.0821      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.998      |
|    explained_variance   | 0.0754      |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0175      |
|    n_updates            | 130         |
|    policy_gradient_loss | -0.00765    |
|    value_loss           | 0.0284      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 11.9        |
|    ep_rew_mean          | 0.02        |
| time/                   |             |
|    fps                  | 817         |
|    iterations           | 15          |
|    time_elapsed         | 37          |
|    total_timesteps      | 30720       |
| train/                  |             |
|    approx_kl            | 0.010538869 |
|    clip_fraction        | 0.107       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.989      |
|    explained_variance   | 0.0986      |
|    learning_rate        | 0.0003      |
|    loss                 | 0.00746     |
|    n_updates            | 140         |
|    policy_gradient_loss | -0.00891    |
|    value_loss           | 0.0544      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 12.9        |
|    ep_rew_mean          | 0.09        |
| time/                   |             |
|    fps                  | 818         |
|    iterations           | 16          |
|    time_elapsed         | 40          |
|    total_timesteps      | 32768       |
| train/                  |             |
|    approx_kl            | 0.011194676 |
|    clip_fraction        | 0.127       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.969      |
|    explained_variance   | 0.0481      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0128     |
|    n_updates            | 150         |
|    policy_gradient_loss | -0.0107     |
|    value_loss           | 0.0175      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 16.3       |
|    ep_rew_mean          | 0.15       |
| time/                   |            |
|    fps                  | 819        |
|    iterations           | 17         |
|    time_elapsed         | 42         |
|    total_timesteps      | 34816      |
| train/                  |            |
|    approx_kl            | 0.00827107 |
|    clip_fraction        | 0.106      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.899     |
|    explained_variance   | 0.116      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.00477   |
|    n_updates            | 160        |
|    policy_gradient_loss | -0.00942   |
|    value_loss           | 0.0334     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 13.9        |
|    ep_rew_mean          | 0.13        |
| time/                   |             |
|    fps                  | 819         |
|    iterations           | 18          |
|    time_elapsed         | 44          |
|    total_timesteps      | 36864       |
| train/                  |             |
|    approx_kl            | 0.008709144 |
|    clip_fraction        | 0.0602      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.851      |
|    explained_variance   | 0.221       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.014       |
|    n_updates            | 170         |
|    policy_gradient_loss | -0.00496    |
|    value_loss           | 0.0474      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 17.7       |
|    ep_rew_mean          | 0.19       |
| time/                   |            |
|    fps                  | 820        |
|    iterations           | 19         |
|    time_elapsed         | 47         |
|    total_timesteps      | 38912      |
| train/                  |            |
|    approx_kl            | 0.00907479 |
|    clip_fraction        | 0.0897     |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.831     |
|    explained_variance   | 0.208      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0085    |
|    n_updates            | 180        |
|    policy_gradient_loss | -0.0104    |
|    value_loss           | 0.051      |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 16.5        |
|    ep_rew_mean          | 0.18        |
| time/                   |             |
|    fps                  | 820         |
|    iterations           | 20          |
|    time_elapsed         | 49          |
|    total_timesteps      | 40960       |
| train/                  |             |
|    approx_kl            | 0.008551151 |
|    clip_fraction        | 0.0907      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.763      |
|    explained_variance   | 0.178       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0112      |
|    n_updates            | 190         |
|    policy_gradient_loss | -0.00916    |
|    value_loss           | 0.0596      |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 20.3         |
|    ep_rew_mean          | 0.19         |
| time/                   |              |
|    fps                  | 820          |
|    iterations           | 21           |
|    time_elapsed         | 52           |
|    total_timesteps      | 43008        |
| train/                  |              |
|    approx_kl            | 0.0052777454 |
|    clip_fraction        | 0.0841       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.725       |
|    explained_variance   | 0.174        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.0183       |
|    n_updates            | 200          |
|    policy_gradient_loss | -0.00614     |
|    value_loss           | 0.0513       |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 20.4        |
|    ep_rew_mean          | 0.24        |
| time/                   |             |
|    fps                  | 819         |
|    iterations           | 22          |
|    time_elapsed         | 54          |
|    total_timesteps      | 45056       |
| train/                  |             |
|    approx_kl            | 0.003636396 |
|    clip_fraction        | 0.0291      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.68       |
|    explained_variance   | 0.157       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0161      |
|    n_updates            | 210         |
|    policy_gradient_loss | -0.00453    |
|    value_loss           | 0.0545      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 19.6        |
|    ep_rew_mean          | 0.21        |
| time/                   |             |
|    fps                  | 818         |
|    iterations           | 23          |
|    time_elapsed         | 57          |
|    total_timesteps      | 47104       |
| train/                  |             |
|    approx_kl            | 0.007641679 |
|    clip_fraction        | 0.0636      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.625      |
|    explained_variance   | 0.164       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0129      |
|    n_updates            | 220         |
|    policy_gradient_loss | -0.00552    |
|    value_loss           | 0.0608      |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 21.9         |
|    ep_rew_mean          | 0.2          |
| time/                   |              |
|    fps                  | 819          |
|    iterations           | 24           |
|    time_elapsed         | 59           |
|    total_timesteps      | 49152        |
| train/                  |              |
|    approx_kl            | 0.0058628367 |
|    clip_fraction        | 0.0556       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.597       |
|    explained_variance   | 0.0916       |
|    learning_rate        | 0.0003       |
|    loss                 | 0.018        |
|    n_updates            | 230          |
|    policy_gradient_loss | -0.00664     |
|    value_loss           | 0.0623       |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 22.7        |
|    ep_rew_mean          | 0.31        |
| time/                   |             |
|    fps                  | 820         |
|    iterations           | 25          |
|    time_elapsed         | 62          |
|    total_timesteps      | 51200       |
| train/                  |             |
|    approx_kl            | 0.004808305 |
|    clip_fraction        | 0.0548      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.565      |
|    explained_variance   | 0.14        |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0112      |
|    n_updates            | 240         |
|    policy_gradient_loss | -0.0069     |
|    value_loss           | 0.0519      |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 23.8         |
|    ep_rew_mean          | 0.29         |
| time/                   |              |
|    fps                  | 820          |
|    iterations           | 26           |
|    time_elapsed         | 64           |
|    total_timesteps      | 53248        |
| train/                  |              |
|    approx_kl            | 0.0041876836 |
|    clip_fraction        | 0.0519       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.519       |
|    explained_variance   | 0.227        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.029        |
|    n_updates            | 250          |
|    policy_gradient_loss | -0.00683     |
|    value_loss           | 0.0651       |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 22.5         |
|    ep_rew_mean          | 0.29         |
| time/                   |              |
|    fps                  | 819          |
|    iterations           | 27           |
|    time_elapsed         | 67           |
|    total_timesteps      | 55296        |
| train/                  |              |
|    approx_kl            | 0.0035913298 |
|    clip_fraction        | 0.0295       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.529       |
|    explained_variance   | 0.044        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.0169       |
|    n_updates            | 260          |
|    policy_gradient_loss | -0.00343     |
|    value_loss           | 0.0647       |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 23.8         |
|    ep_rew_mean          | 0.4          |
| time/                   |              |
|    fps                  | 819          |
|    iterations           | 28           |
|    time_elapsed         | 69           |
|    total_timesteps      | 57344        |
| train/                  |              |
|    approx_kl            | 0.0032927878 |
|    clip_fraction        | 0.0363       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.528       |
|    explained_variance   | 0.157        |
|    learning_rate        | 0.0003       |
|    loss                 | -0.0155      |
|    n_updates            | 270          |
|    policy_gradient_loss | -0.00548     |
|    value_loss           | 0.0615       |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 27.9         |
|    ep_rew_mean          | 0.35         |
| time/                   |              |
|    fps                  | 820          |
|    iterations           | 29           |
|    time_elapsed         | 72           |
|    total_timesteps      | 59392        |
| train/                  |              |
|    approx_kl            | 0.0046656365 |
|    clip_fraction        | 0.0455       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.5         |
|    explained_variance   | 0.193        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.0225       |
|    n_updates            | 280          |
|    policy_gradient_loss | -0.00563     |
|    value_loss           | 0.0698       |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 23.7         |
|    ep_rew_mean          | 0.39         |
| time/                   |              |
|    fps                  | 819          |
|    iterations           | 30           |
|    time_elapsed         | 74           |
|    total_timesteps      | 61440        |
| train/                  |              |
|    approx_kl            | 0.0059909145 |
|    clip_fraction        | 0.0666       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.482       |
|    explained_variance   | 0.135        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.0401       |
|    n_updates            | 290          |
|    policy_gradient_loss | -0.00702     |
|    value_loss           | 0.0605       |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 25.2         |
|    ep_rew_mean          | 0.41         |
| time/                   |              |
|    fps                  | 819          |
|    iterations           | 31           |
|    time_elapsed         | 77           |
|    total_timesteps      | 63488        |
| train/                  |              |
|    approx_kl            | 0.0046170913 |
|    clip_fraction        | 0.0379       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.435       |
|    explained_variance   | 0.147        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.0266       |
|    n_updates            | 300          |
|    policy_gradient_loss | -0.00386     |
|    value_loss           | 0.0743       |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 29.3         |
|    ep_rew_mean          | 0.4          |
| time/                   |              |
|    fps                  | 819          |
|    iterations           | 32           |
|    time_elapsed         | 79           |
|    total_timesteps      | 65536        |
| train/                  |              |
|    approx_kl            | 0.0037173212 |
|    clip_fraction        | 0.0465       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.377       |
|    explained_variance   | 0.149        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.0363       |
|    n_updates            | 310          |
|    policy_gradient_loss | -0.00533     |
|    value_loss           | 0.0638       |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 29           |
|    ep_rew_mean          | 0.5          |
| time/                   |              |
|    fps                  | 819          |
|    iterations           | 33           |
|    time_elapsed         | 82           |
|    total_timesteps      | 67584        |
| train/                  |              |
|    approx_kl            | 0.0023390064 |
|    clip_fraction        | 0.0328       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.352       |
|    explained_variance   | 0.191        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.0107       |
|    n_updates            | 320          |
|    policy_gradient_loss | -0.00399     |
|    value_loss           | 0.0574       |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 28           |
|    ep_rew_mean          | 0.5          |
| time/                   |              |
|    fps                  | 819          |
|    iterations           | 34           |
|    time_elapsed         | 84           |
|    total_timesteps      | 69632        |
| train/                  |              |
|    approx_kl            | 0.0030897534 |
|    clip_fraction        | 0.0465       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.292       |
|    explained_variance   | 0.181        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.0325       |
|    n_updates            | 330          |
|    policy_gradient_loss | -0.00609     |
|    value_loss           | 0.0655       |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 29           |
|    ep_rew_mean          | 0.46         |
| time/                   |              |
|    fps                  | 819          |
|    iterations           | 35           |
|    time_elapsed         | 87           |
|    total_timesteps      | 71680        |
| train/                  |              |
|    approx_kl            | 0.0019294285 |
|    clip_fraction        | 0.0297       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.287       |
|    explained_variance   | 0.163        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.0317       |
|    n_updates            | 340          |
|    policy_gradient_loss | -0.00522     |
|    value_loss           | 0.0638       |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 29.3        |
|    ep_rew_mean          | 0.5         |
| time/                   |             |
|    fps                  | 819         |
|    iterations           | 36          |
|    time_elapsed         | 89          |
|    total_timesteps      | 73728       |
| train/                  |             |
|    approx_kl            | 0.001939947 |
|    clip_fraction        | 0.028       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.254      |
|    explained_variance   | 0.198       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0192      |
|    n_updates            | 350         |
|    policy_gradient_loss | -0.00376    |
|    value_loss           | 0.0574      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 32.7        |
|    ep_rew_mean          | 0.46        |
| time/                   |             |
|    fps                  | 820         |
|    iterations           | 37          |
|    time_elapsed         | 92          |
|    total_timesteps      | 75776       |
| train/                  |             |
|    approx_kl            | 0.001077427 |
|    clip_fraction        | 0.00806     |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.223      |
|    explained_variance   | 0.165       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.028       |
|    n_updates            | 360         |
|    policy_gradient_loss | -0.00103    |
|    value_loss           | 0.0615      |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 32.1         |
|    ep_rew_mean          | 0.57         |
| time/                   |              |
|    fps                  | 819          |
|    iterations           | 38           |
|    time_elapsed         | 94           |
|    total_timesteps      | 77824        |
| train/                  |              |
|    approx_kl            | 0.0009059209 |
|    clip_fraction        | 0.0127       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.227       |
|    explained_variance   | 0.153        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.0278       |
|    n_updates            | 370          |
|    policy_gradient_loss | -0.00181     |
|    value_loss           | 0.0576       |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 32.3         |
|    ep_rew_mean          | 0.55         |
| time/                   |              |
|    fps                  | 819          |
|    iterations           | 39           |
|    time_elapsed         | 97           |
|    total_timesteps      | 79872        |
| train/                  |              |
|    approx_kl            | 0.0011071876 |
|    clip_fraction        | 0.0223       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.244       |
|    explained_variance   | 0.173        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.0094       |
|    n_updates            | 380          |
|    policy_gradient_loss | -0.00246     |
|    value_loss           | 0.0597       |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 33          |
|    ep_rew_mean          | 0.41        |
| time/                   |             |
|    fps                  | 819         |
|    iterations           | 40          |
|    time_elapsed         | 99          |
|    total_timesteps      | 81920       |
| train/                  |             |
|    approx_kl            | 0.004007705 |
|    clip_fraction        | 0.0243      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.238      |
|    explained_variance   | 0.16        |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0197      |
|    n_updates            | 390         |
|    policy_gradient_loss | -0.00372    |
|    value_loss           | 0.0517      |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 35.6         |
|    ep_rew_mean          | 0.37         |
| time/                   |              |
|    fps                  | 820          |
|    iterations           | 41           |
|    time_elapsed         | 102          |
|    total_timesteps      | 83968        |
| train/                  |              |
|    approx_kl            | 0.0019463435 |
|    clip_fraction        | 0.0252       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.227       |
|    explained_variance   | 0.0685       |
|    learning_rate        | 0.0003       |
|    loss                 | 0.00709      |
|    n_updates            | 400          |
|    policy_gradient_loss | -0.00311     |
|    value_loss           | 0.0573       |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 39           |
|    ep_rew_mean          | 0.43         |
| time/                   |              |
|    fps                  | 820          |
|    iterations           | 42           |
|    time_elapsed         | 104          |
|    total_timesteps      | 86016        |
| train/                  |              |
|    approx_kl            | 0.0011253945 |
|    clip_fraction        | 0.0175       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.213       |
|    explained_variance   | 0.0784       |
|    learning_rate        | 0.0003       |
|    loss                 | 0.0212       |
|    n_updates            | 410          |
|    policy_gradient_loss | -0.00192     |
|    value_loss           | 0.0484       |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 34.3         |
|    ep_rew_mean          | 0.45         |
| time/                   |              |
|    fps                  | 820          |
|    iterations           | 43           |
|    time_elapsed         | 107          |
|    total_timesteps      | 88064        |
| train/                  |              |
|    approx_kl            | 0.0011742642 |
|    clip_fraction        | 0.0135       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.192       |
|    explained_variance   | 0.123        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.0346       |
|    n_updates            | 420          |
|    policy_gradient_loss | -0.00218     |
|    value_loss           | 0.0489       |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 31.5         |
|    ep_rew_mean          | 0.6          |
| time/                   |              |
|    fps                  | 821          |
|    iterations           | 44           |
|    time_elapsed         | 109          |
|    total_timesteps      | 90112        |
| train/                  |              |
|    approx_kl            | 0.0012178086 |
|    clip_fraction        | 0.0216       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.185       |
|    explained_variance   | 0.134        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.0314       |
|    n_updates            | 430          |
|    policy_gradient_loss | -0.00327     |
|    value_loss           | 0.0583       |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 33.5         |
|    ep_rew_mean          | 0.54         |
| time/                   |              |
|    fps                  | 821          |
|    iterations           | 45           |
|    time_elapsed         | 112          |
|    total_timesteps      | 92160        |
| train/                  |              |
|    approx_kl            | 0.0014613287 |
|    clip_fraction        | 0.0223       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.174       |
|    explained_variance   | 0.135        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.0293       |
|    n_updates            | 440          |
|    policy_gradient_loss | -0.00348     |
|    value_loss           | 0.06         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 35.7         |
|    ep_rew_mean          | 0.5          |
| time/                   |              |
|    fps                  | 820          |
|    iterations           | 46           |
|    time_elapsed         | 114          |
|    total_timesteps      | 94208        |
| train/                  |              |
|    approx_kl            | 0.0014463686 |
|    clip_fraction        | 0.0229       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.179       |
|    explained_variance   | 0.0793       |
|    learning_rate        | 0.0003       |
|    loss                 | 0.0256       |
|    n_updates            | 450          |
|    policy_gradient_loss | -0.00331     |
|    value_loss           | 0.0565       |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 35.6         |
|    ep_rew_mean          | 0.44         |
| time/                   |              |
|    fps                  | 820          |
|    iterations           | 47           |
|    time_elapsed         | 117          |
|    total_timesteps      | 96256        |
| train/                  |              |
|    approx_kl            | 0.0011197095 |
|    clip_fraction        | 0.0201       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.156       |
|    explained_variance   | 0.0828       |
|    learning_rate        | 0.0003       |
|    loss                 | 0.0273       |
|    n_updates            | 460          |
