Using cpu device
---------------------------------
| rollout/           |          |
|    approx_kl            | 0.010929016 |
|    clip_fraction        | 0.101       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.07       |
|    explained_variance   | 0.196       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.00596     |
|    n_updates            | 90          |
|    policy_gradient_loss | -0.00677    |
|    value_loss           | 0.0428      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 8.73        |
|    ep_rew_mean          | 0.06        |
| time/                   |             |
|    fps                  | 858         |
|    iterations           | 11          |
|    time_elapsed         | 26          |
|    total_timesteps      | 22528       |
| train/                  |             |
|    approx_kl            | 0.011760164 |
|    clip_fraction        | 0.143       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.03       |
|    explained_variance   | 0.198       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0175     |
|    n_updates            | 100         |
|    policy_gradient_loss | -0.00986    |
|    value_loss           | 0.0339      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 9.31        |
|    ep_rew_mean          | 0.02        |
| time/                   |             |
|    fps                  | 856         |
|    iterations           | 12          |
|    time_elapsed         | 28          |
|    total_timesteps      | 24576       |
| train/                  |             |
|    approx_kl            | 0.010511082 |
|    clip_fraction        | 0.0865      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.994      |
|    explained_variance   | 0.182       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.00435    |
|    n_updates            | 110         |
|    policy_gradient_loss | -0.0096     |
|    value_loss           | 0.0499      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 9.02        |
|    ep_rew_mean          | 0.03        |
| time/                   |             |
|    fps                  | 855         |
|    iterations           | 13          |
|    time_elapsed         | 31          |
|    total_timesteps      | 26624       |
| train/                  |             |
|    approx_kl            | 0.009440599 |
|    clip_fraction        | 0.0423      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.953      |
|    explained_variance   | 0.133       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.00702     |
|    n_updates            | 120         |
|    policy_gradient_loss | -0.00603    |
|    value_loss           | 0.033       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 10.4        |
|    ep_rew_mean          | 0.08        |
| time/                   |             |
|    fps                  | 853         |
|    iterations           | 14          |
|    time_elapsed         | 33          |
|    total_timesteps      | 28672       |
| train/                  |             |
|    approx_kl            | 0.010040496 |
|    clip_fraction        | 0.0799      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.895      |
|    explained_variance   | 0.168       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.00142     |
|    n_updates            | 130         |
|    policy_gradient_loss | -0.00776    |
|    value_loss           | 0.0429      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 11.2        |
|    ep_rew_mean          | 0.07        |
| time/                   |             |
|    fps                  | 853         |
|    iterations           | 15          |
|    time_elapsed         | 35          |
|    total_timesteps      | 30720       |
| train/                  |             |
|    approx_kl            | 0.008462308 |
|    clip_fraction        | 0.0617      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.817      |
|    explained_variance   | 0.172       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0253      |
|    n_updates            | 140         |
|    policy_gradient_loss | -0.00579    |
|    value_loss           | 0.05        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 9.67        |
|    ep_rew_mean          | 0.07        |
| time/                   |             |
|    fps                  | 852         |
|    iterations           | 16          |
|    time_elapsed         | 38          |
|    total_timesteps      | 32768       |
| train/                  |             |
|    approx_kl            | 0.008352789 |
|    clip_fraction        | 0.0975      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.727      |
|    explained_variance   | 0.106       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0125     |
|    n_updates            | 150         |
|    policy_gradient_loss | -0.00577    |
|    value_loss           | 0.0306      |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 10.2         |
|    ep_rew_mean          | 0.05         |
| time/                   |              |
|    fps                  | 851          |
|    iterations           | 17           |
|    time_elapsed         | 40           |
|    total_timesteps      | 34816        |
| train/                  |              |
|    approx_kl            | 0.0038119736 |
|    clip_fraction        | 0.0248       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.676       |
|    explained_variance   | 0.105        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.0319       |
|    n_updates            | 160          |
|    policy_gradient_loss | -0.00416     |
|    value_loss           | 0.0436       |
------------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 10.8       |
|    ep_rew_mean          | 0.08       |
| time/                   |            |
|    fps                  | 850        |
|    iterations           | 18         |
|    time_elapsed         | 43         |
|    total_timesteps      | 36864      |
| train/                  |            |
|    approx_kl            | 0.00460546 |
|    clip_fraction        | 0.0619     |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.713     |
|    explained_variance   | 0.0555     |
|    learning_rate        | 0.0003     |
|    loss                 | -0.00515   |
|    n_updates            | 170        |
|    policy_gradient_loss | -0.00546   |
|    value_loss           | 0.0339     |
----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 11.8         |
|    ep_rew_mean          | 0.1          |
| time/                   |              |
|    fps                  | 850          |
|    iterations           | 19           |
|    time_elapsed         | 45           |
|    total_timesteps      | 38912        |
| train/                  |              |
|    approx_kl            | 0.0048207166 |
|    clip_fraction        | 0.0576       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.663       |
|    explained_variance   | 0.191        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.0135       |
|    n_updates            | 180          |
|    policy_gradient_loss | -0.00662     |
|    value_loss           | 0.0507       |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 13.6        |
|    ep_rew_mean          | 0.08        |
| time/                   |             |
|    fps                  | 849         |
|    iterations           | 20          |
|    time_elapsed         | 48          |
|    total_timesteps      | 40960       |
| train/                  |             |
|    approx_kl            | 0.006557363 |
|    clip_fraction        | 0.0643      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.622      |
|    explained_variance   | 0.113       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.00372     |
|    n_updates            | 190         |
|    policy_gradient_loss | -0.00468    |
|    value_loss           | 0.0416      |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 12.3         |
|    ep_rew_mean          | 0.16         |
| time/                   |              |
|    fps                  | 848          |
|    iterations           | 21           |
|    time_elapsed         | 50           |
|    total_timesteps      | 43008        |
| train/                  |              |
|    approx_kl            | 0.0028682211 |
|    clip_fraction        | 0.0304       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.594       |
|    explained_variance   | 0.152        |
|    learning_rate        | 0.0003       |
|    loss                 | -0.000589    |
|    n_updates            | 200          |
|    policy_gradient_loss | -0.00247     |
|    value_loss           | 0.036        |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 13.2         |
|    ep_rew_mean          | 0.1          |
| time/                   |              |
|    fps                  | 847          |
|    iterations           | 22           |
|    time_elapsed         | 53           |
|    total_timesteps      | 45056        |
| train/                  |              |
|    approx_kl            | 0.0024731176 |
|    clip_fraction        | 0.0384       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.548       |
|    explained_variance   | 0.119        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.0175       |
|    n_updates            | 210          |
|    policy_gradient_loss | -0.00526     |
|    value_loss           | 0.0604       |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 13           |
|    ep_rew_mean          | 0.15         |
| time/                   |              |
|    fps                  | 847          |
|    iterations           | 23           |
|    time_elapsed         | 55           |
|    total_timesteps      | 47104        |
| train/                  |              |
|    approx_kl            | 0.0031833525 |
|    clip_fraction        | 0.0429       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.604       |
|    explained_variance   | 0.161        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.0192       |
|    n_updates            | 220          |
|    policy_gradient_loss | -0.00378     |
|    value_loss           | 0.0561       |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 13.8         |
|    ep_rew_mean          | 0.13         |
| time/                   |              |
|    fps                  | 846          |
|    iterations           | 24           |
|    time_elapsed         | 58           |
|    total_timesteps      | 49152        |
| train/                  |              |
|    approx_kl            | 0.0040190318 |
|    clip_fraction        | 0.0568       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.565       |
|    explained_variance   | 0.177        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.024        |
|    n_updates            | 230          |
|    policy_gradient_loss | -0.00409     |
|    value_loss           | 0.0558       |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 14           |
|    ep_rew_mean          | 0.1          |
| time/                   |              |
|    fps                  | 846          |
|    iterations           | 25           |
|    time_elapsed         | 60           |
|    total_timesteps      | 51200        |
| train/                  |              |
|    approx_kl            | 0.0043437514 |
|    clip_fraction        | 0.0435       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.564       |
|    explained_variance   | 0.167        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.0108       |
|    n_updates            | 240          |
|    policy_gradient_loss | -0.00477     |
|    value_loss           | 0.054        |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 15.4        |
|    ep_rew_mean          | 0.14        |
| time/                   |             |
|    fps                  | 845         |
|    iterations           | 26          |
|    time_elapsed         | 62          |
|    total_timesteps      | 53248       |
| train/                  |             |
|    approx_kl            | 0.005988402 |
|    clip_fraction        | 0.0572      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.55       |
|    explained_variance   | 0.154       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0157      |
|    n_updates            | 250         |
|    policy_gradient_loss | -0.00531    |
|    value_loss           | 0.0488      |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 12.3         |
|    ep_rew_mean          | 0.12         |
| time/                   |              |
|    fps                  | 845          |
|    iterations           | 27           |
|    time_elapsed         | 65           |
|    total_timesteps      | 55296        |
| train/                  |              |
|    approx_kl            | 0.0027690139 |
|    clip_fraction        | 0.0354       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.562       |
|    explained_variance   | 0.12         |
|    learning_rate        | 0.0003       |
|    loss                 | 0.0163       |
|    n_updates            | 260          |
|    policy_gradient_loss | -0.0043      |
|    value_loss           | 0.0478       |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 12.9         |
|    ep_rew_mean          | 0.11         |
| time/                   |              |
|    fps                  | 844          |
|    iterations           | 28           |
|    time_elapsed         | 67           |
|    total_timesteps      | 57344        |
| train/                  |              |
|    approx_kl            | 0.0039887857 |
|    clip_fraction        | 0.0476       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.621       |
|    explained_variance   | 0.208        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.00623      |
|    n_updates            | 270          |
|    policy_gradient_loss | -0.00461     |
|    value_loss           | 0.0507       |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 13.6        |
|    ep_rew_mean          | 0.19        |
| time/                   |             |
|    fps                  | 844         |
|    iterations           | 29          |
|    time_elapsed         | 70          |
|    total_timesteps      | 59392       |
| train/                  |             |
|    approx_kl            | 0.003703076 |
|    clip_fraction        | 0.0363      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.603      |
|    explained_variance   | 0.114       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.00365    |
|    n_updates            | 280         |
|    policy_gradient_loss | -0.0033     |
|    value_loss           | 0.0456      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 16.4        |
|    ep_rew_mean          | 0.12        |
| time/                   |             |
|    fps                  | 842         |
|    iterations           | 30          |
|    time_elapsed         | 72          |
|    total_timesteps      | 61440       |
| train/                  |             |
|    approx_kl            | 0.005201697 |
|    clip_fraction        | 0.0383      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.538      |
|    explained_variance   | 0.179       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0251      |
|    n_updates            | 290         |
|    policy_gradient_loss | -0.00415    |
|    value_loss           | 0.0676      |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 14.1         |
|    ep_rew_mean          | 0.18         |
| time/                   |              |
|    fps                  | 839          |
|    iterations           | 31           |
|    time_elapsed         | 75           |
|    total_timesteps      | 63488        |
| train/                  |              |
|    approx_kl            | 0.0021286958 |
|    clip_fraction        | 0.0233       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.518       |
|    explained_variance   | 0.191        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.017        |
|    n_updates            | 300          |
|    policy_gradient_loss | -0.00223     |
|    value_loss           | 0.0508       |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 14.3         |
|    ep_rew_mean          | 0.19         |
| time/                   |              |
|    fps                  | 840          |
|    iterations           | 32           |
|    time_elapsed         | 77           |
|    total_timesteps      | 65536        |
| train/                  |              |
|    approx_kl            | 0.0037709847 |
|    clip_fraction        | 0.0366       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.536       |
|    explained_variance   | 0.155        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.00184      |
|    n_updates            | 310          |
|    policy_gradient_loss | -0.00318     |
|    value_loss           | 0.0573       |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 12           |
|    ep_rew_mean          | 0.2          |
| time/                   |              |
|    fps                  | 839          |
|    iterations           | 33           |
|    time_elapsed         | 80           |
|    total_timesteps      | 67584        |
| train/                  |              |
|    approx_kl            | 0.0049910294 |
|    clip_fraction        | 0.0409       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.523       |
|    explained_variance   | 0.16         |
|    learning_rate        | 0.0003       |
|    loss                 | 0.0237       |
|    n_updates            | 320          |
|    policy_gradient_loss | -0.00444     |
|    value_loss           | 0.0615       |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 14.5         |
|    ep_rew_mean          | 0.24         |
| time/                   |              |
|    fps                  | 838          |
|    iterations           | 34           |
|    time_elapsed         | 83           |
|    total_timesteps      | 69632        |
| train/                  |              |
|    approx_kl            | 0.0025185926 |
|    clip_fraction        | 0.052        |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.554       |
|    explained_variance   | 0.236        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.0112       |
|    n_updates            | 330          |
|    policy_gradient_loss | -0.00506     |
|    value_loss           | 0.0689       |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 15.1         |
|    ep_rew_mean          | 0.23         |
| time/                   |              |
|    fps                  | 835          |
|    iterations           | 35           |
|    time_elapsed         | 85           |
|    total_timesteps      | 71680        |
| train/                  |              |
|    approx_kl            | 0.0016762803 |
|    clip_fraction        | 0.024        |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.522       |
|    explained_variance   | 0.187        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.0252       |
|    n_updates            | 340          |
|    policy_gradient_loss | -0.00312     |
|    value_loss           | 0.0722       |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 16.8        |
|    ep_rew_mean          | 0.21        |
| time/                   |             |
|    fps                  | 833         |
|    iterations           | 36          |
|    time_elapsed         | 88          |
|    total_timesteps      | 73728       |
| train/                  |             |
|    approx_kl            | 0.004572832 |
|    clip_fraction        | 0.0463      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.512      |
|    explained_variance   | 0.182       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0321      |
|    n_updates            | 350         |
|    policy_gradient_loss | -0.00432    |
|    value_loss           | 0.076       |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 14.5         |
|    ep_rew_mean          | 0.22         |
| time/                   |              |
|    fps                  | 832          |
|    iterations           | 37           |
|    time_elapsed         | 91           |
|    total_timesteps      | 75776        |
| train/                  |              |
|    approx_kl            | 0.0030695486 |
|    clip_fraction        | 0.0367       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.532       |
|    explained_variance   | 0.227        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.0266       |
|    n_updates            | 360          |
|    policy_gradient_loss | -0.00276     |
|    value_loss           | 0.0638       |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 18.5        |
|    ep_rew_mean          | 0.23        |
| time/                   |             |
|    fps                  | 832         |
|    iterations           | 38          |
|    time_elapsed         | 93          |
|    total_timesteps      | 77824       |
| train/                  |             |
|    approx_kl            | 0.004343291 |
|    clip_fraction        | 0.0494      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.51       |
|    explained_variance   | 0.192       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0218      |
|    n_updates            | 370         |
|    policy_gradient_loss | -0.0046     |
|    value_loss           | 0.0754      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 18.6       |
|    ep_rew_mean          | 0.29       |
| time/                   |            |
|    fps                  | 830        |
|    iterations           | 39         |
|    time_elapsed         | 96         |
|    total_timesteps      | 79872      |
| train/                  |            |
|    approx_kl            | 0.00467915 |
|    clip_fraction        | 0.0401     |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.469     |
|    explained_variance   | 0.236      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.0323     |
|    n_updates            | 380        |
|    policy_gradient_loss | -0.00216   |
|    value_loss           | 0.0649     |
----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 16.2         |
|    ep_rew_mean          | 0.15         |
| time/                   |              |
|    fps                  | 830          |
|    iterations           | 40           |
|    time_elapsed         | 98           |
|    total_timesteps      | 81920        |
| train/                  |              |
|    approx_kl            | 0.0048670224 |
|    clip_fraction        | 0.0403       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.438       |
|    explained_variance   | 0.204        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.014        |
|    n_updates            | 390          |
|    policy_gradient_loss | -0.00339     |
|    value_loss           | 0.07         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 15.4         |
|    ep_rew_mean          | 0.17         |
| time/                   |              |
|    fps                  | 828          |
|    iterations           | 41           |
|    time_elapsed         | 101          |
|    total_timesteps      | 83968        |
| train/                  |              |
|    approx_kl            | 0.0035545258 |
|    clip_fraction        | 0.0362       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.442       |
|    explained_variance   | 0.0414       |
|    learning_rate        | 0.0003       |
|    loss                 | 0.00358      |
|    n_updates            | 400          |
|    policy_gradient_loss | -0.00364     |
|    value_loss           | 0.0595       |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 18          |
|    ep_rew_mean          | 0.27        |
| time/                   |             |
|    fps                  | 826         |
|    iterations           | 42          |
|    time_elapsed         | 104         |
|    total_timesteps      | 86016       |
| train/                  |             |
|    approx_kl            | 0.004996111 |
|    clip_fraction        | 0.0415      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.419      |
|    explained_variance   | 0.141       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0468      |
|    n_updates            | 410         |
|    policy_gradient_loss | -0.00379    |
|    value_loss           | 0.0703      |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 17.5         |
|    ep_rew_mean          | 0.27         |
| time/                   |              |
|    fps                  | 825          |
|    iterations           | 43           |
|    time_elapsed         | 106          |
|    total_timesteps      | 88064        |
| train/                  |              |
|    approx_kl            | 0.0016641959 |
|    clip_fraction        | 0.0207       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.38        |
|    explained_variance   | 0.248        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.0299       |
|    n_updates            | 420          |
|    policy_gradient_loss | -0.00231     |
|    value_loss           | 0.0631       |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 18.8         |
|    ep_rew_mean          | 0.22         |
| time/                   |              |
|    fps                  | 825          |
|    iterations           | 44           |
|    time_elapsed         | 109          |
|    total_timesteps      | 90112        |
| train/                  |              |
|    approx_kl            | 0.0016186002 |
|    clip_fraction        | 0.0226       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.363       |
|    explained_variance   | 0.237        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.0337       |
|    n_updates            | 430          |
|    policy_gradient_loss | -0.00276     |
|    value_loss           | 0.07         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 16.4         |
|    ep_rew_mean          | 0.22         |
| time/                   |              |
|    fps                  | 826          |
|    iterations           | 45           |
|    time_elapsed         | 111          |
|    total_timesteps      | 92160        |
| train/                  |              |
|    approx_kl            | 0.0020904075 |
|    clip_fraction        | 0.0178       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.353       |
|    explained_variance   | 0.214        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.0192       |
|    n_updates            | 440          |
|    policy_gradient_loss | -0.00234     |
|    value_loss           | 0.0586       |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 17.3        |
|    ep_rew_mean          | 0.22        |
| time/                   |             |
|    fps                  | 826         |
|    iterations           | 46          |
|    time_elapsed         | 114         |
|    total_timesteps      | 94208       |
| train/                  |             |
|    approx_kl            | 0.002006418 |
|    clip_fraction        | 0.0358      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.355      |
|    explained_variance   | 0.2         |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0307      |
|    n_updates            | 450         |
|    policy_gradient_loss | -0.00227    |
|    value_loss           | 0.0638      |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 18.1         |
|    ep_rew_mean          | 0.21         |
| time/                   |              |
|    fps                  | 825          |
|    iterations           | 47           |
|    time_elapsed         | 116          |
|    total_timesteps      | 96256        |
| train/                  |              |
|    approx_kl            | 0.0020286986 |
|    clip_fraction        | 0.0272       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.357       |
|    explained_variance   | 0.196        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.0236       |
